,date,time,open,high,low,close,jdiff_vol,value,jongchk,rate,sign
0,20231228,122300,10230,10240,10230,10240,552,6,0,0.00,2
1,20231228,122400,10240,10240,10230,10240,685,7,0,0.00,2
2,20231228,122500,10240,10240,10230,10230,659,7,0,0.00,2
3,20231228,122600,10230,10240,10230,10240,652,7,0,0.00,2
4,20231228,122700,10230,10240,10220,10220,1957,20,0,0.00,2
5,20231228,122800,10220,10230,10220,10220,634,6,0,0.00,2
6,20231228,122900,10220,10230,10210,10210,435,4,0,0.00,3
7,20231228,123000,10220,10230,10220,10220,260,3,0,0.00,2
8,20231228,123100,10220,10230,10210,10210,528,5,0,0.00,3
9,20231228,123200,10220,10220,10210,10220,884,9,0,0.00,2
10,20231228,123300,10220,10220,10210,10210,424,4,0,0.00,3
11,20231228,123400,10210,10230,10210,10220,1122,11,0,0.00,2
12,20231228,123500,10220,10230,10220,10220,407,4,0,0.00,2
13,20231228,123600,10220,10230,10220,10230,450,5,0,0.00,2
14,20231228,123700,10220,10230,10220,10230,994,10,0,0.00,2
15,20231228,123800,10220,10230,10220,10230,416,4,0,0.00,2
16,20231228,123900,10230,10230,10220,10230,94,1,0,0.00,2
17,20231228,124000,10230,10230,10210,10210,2006,21,0,0.00,3
18,20231228,124100,10220,10230,10210,10230,1819,19,0,0.00,2
19,20231228,124200,10220,10230,10220,10220,844,9,0,0.00,2
20,20231228,124300,10220,10220,10210,10220,527,5,0,0.00,2
21,20231228,124400,10220,10220,10210,10210,632,6,0,0.00,3
22,20231228,124500,10220,10220,10210,10220,99,1,0,0.00,2
23,20231228,124600,10220,10220,10210,10210,694,7,0,0.00,3
24,20231228,124700,10210,10220,10210,10210,724,7,0,0.00,3
25,20231228,124800,10210,10220,10210,10220,367,4,0,0.00,2
26,20231228,124900,10220,10220,10210,10210,629,6,0,0.00,3
27,20231228,125000,10210,10220,10210,10220,1679,17,0,0.00,2
28,20231228,125100,10220,10230,10210,10220,660,7,0,0.00,2
29,20231228,125200,10230,10230,10220,10230,1101,11,0,0.00,2
30,20231228,125300,10220,10230,10220,10220,476,5,0,0.00,2
