날짜,기사제목,링크
2024-01-19,"[특징주] 동화약품, 셀트리온 의약품 인수에 상승(종합)",https://finance.naver.com/item/news_read.naver?article_id=0014455453&office_id=001&code=000020&page=1&sm=
2024-01-19,"[특징주] 동화약품, ‘알보칠’ 등 셀트리온 의약품 4종 인수에 상승...",https://finance.naver.com/item/news_read.naver?article_id=0000963741&office_id=366&code=000020&page=1&sm=
2024-01-19,"[특징주] 동화약품, 셀트리온 의약품 인수에 상승",https://finance.naver.com/item/news_read.naver?article_id=0014454450&office_id=001&code=000020&page=1&sm=
2024-01-18,"[바이오게시판] 동화약품, 셀트리온 알보칠·화이투벤·칼시츄 인수",https://finance.naver.com/item/news_read.naver?article_id=0000963653&office_id=366&code=000020&page=1&sm=
2024-01-18,"동화약품, 셀트리온 ‘알보칠·화이투벤’ 인수",https://finance.naver.com/item/news_read.naver?article_id=0005246779&office_id=009&code=000020&page=1&sm=
2024-01-18,"동화약품, 셀트리온으로부터 '화이투벤·알보칠' 아·태 판권 인수",https://finance.naver.com/item/news_read.naver?article_id=0005369016&office_id=277&code=000020&page=1&sm=
2024-01-18,동화약품 “화이투벤 등 셀트리온 일반의약품 인수”,https://finance.naver.com/item/news_read.naver?article_id=0005369013&office_id=277&code=000020&page=1&sm=
2024-01-18,"동화약품 ""화이투벤 등 셀트리온 일반의약품 4종 인수""",https://finance.naver.com/item/news_read.naver?article_id=0014453660&office_id=001&code=000020&page=1&sm=
2024-01-18,"동화약품, 셀트리온 알보칠·화이투벤 등 일반약 인수",https://finance.naver.com/item/news_read.naver?article_id=0004938405&office_id=015&code=000020&page=1&sm=
2024-01-18,"동화약품, 셀트리온 브랜드 '알보칠·화이투벤' 등 일반약 4종 인수",https://finance.naver.com/item/news_read.naver?article_id=0004987899&office_id=008&code=000020&page=1&sm=
2024-01-18,"동화약품, 셀트리온 일반의약품 알보칠 등 4종 인수 OTC 강화",https://finance.naver.com/item/news_read.naver?article_id=0005130161&office_id=014&code=000020&page=1&sm=
2024-01-18,"판콜 보유한 동화약품, 화이투벤도 손에 넣었다…알보칠 사업권도 인수",https://finance.naver.com/item/news_read.naver?article_id=0007299761&office_id=421&code=000020&page=1&sm=
2023-12-19,[인사] 동화약품,https://finance.naver.com/item/news_read.naver?article_id=0007243392&office_id=421&code=000020&page=1&sm=
2023-12-19,[인사] 동화약품,https://finance.naver.com/item/news_read.naver?article_id=0000054149&office_id=243&code=000020&page=1&sm=
2023-12-19,[인사] 동화약품,https://finance.naver.com/item/news_read.naver?article_id=0005640119&office_id=018&code=000020&page=1&sm=
2023-12-19,[인사]동화약품,https://finance.naver.com/item/news_read.naver?article_id=0005356691&office_id=277&code=000020&page=1&sm=
2023-12-15,"126년 제약 외길 동화약품, 당뇨·항암 신약 100년 대계 이끈다",https://finance.naver.com/item/news_read.naver?article_id=0005638181&office_id=018&code=000020&page=1&sm=
2023-12-06,"동화약품, 손으로 얼굴 만지지 않기…위생 강조",https://finance.naver.com/item/news_read.naver?article_id=0004922477&office_id=015&code=000020&page=1&sm=
2023-11-30,싸이가 통했나...동아제약 ‘판피린’ 62년만에 감기약 1위 자리 동화...,https://finance.naver.com/item/news_read.naver?article_id=0000951631&office_id=366&code=000020&page=1&sm=
2023-11-28,"동화약품, 위생 상식·건강 습관 그림으로 표현",https://finance.naver.com/item/news_read.naver?article_id=0005221862&office_id=009&code=000020&page=1&sm=
2023-11-20,"동화약품 감기약 '판콜에스', 1년 누적 매출 사상 첫 1위",https://finance.naver.com/item/news_read.naver?article_id=0014343049&office_id=001&code=000020&page=1&sm=
2023-10-27,"'활명수의 화려한 부활'…동화약품, 올해 최대실적 경신 예고",https://finance.naver.com/item/news_read.naver?article_id=0005605156&office_id=018&code=000020&page=1&sm=
2023-10-05,"'겨땀' 고민 해결…동화약품, 다한증 치료제 국내 허가 신청",https://finance.naver.com/item/news_read.naver?article_id=0007089348&office_id=421&code=000020&page=2&sm=
2023-09-18,"동화약품, 무좀치료제 '바르지오' 제품군 매출 74.7% 증가",https://finance.naver.com/item/news_read.naver?article_id=0000019591&office_id=648&code=000020&page=2&sm=
2023-09-18,"동화약품 브러시형 무좀약 '바르지오 원스', 매출 전년比 170.5%...",https://finance.naver.com/item/news_read.naver?article_id=0004939651&office_id=008&code=000020&page=2&sm=
2023-09-14,"[게시판] 동화약품, 우크라이나에 14억원 규모 필수 의약품 지원",https://finance.naver.com/item/news_read.naver?article_id=0014193946&office_id=001&code=000020&page=2&sm=
2023-09-14,"동화약품, 우크라이나에 14억원 상당 필수의약품 지원",https://finance.naver.com/item/news_read.naver?article_id=0005072802&office_id=014&code=000020&page=2&sm=
2023-09-14,"동화약품, 우크라이나에 항생제 등 14억원 규모 필수의약품 지원",https://finance.naver.com/item/news_read.naver?article_id=0005574827&office_id=018&code=000020&page=2&sm=
2023-09-08,"동화약품, 마그네슘 건기식 '마그랩' 출시",https://finance.naver.com/item/news_read.naver?article_id=0005311660&office_id=277&code=000020&page=2&sm=
2023-09-08,"동화약품, 마그네슘 건강기능식품 '마그랩' 출시",https://finance.naver.com/item/news_read.naver?article_id=0014181174&office_id=001&code=000020&page=2&sm=
2023-09-07,"동화약품, 부채표 복합 소화효소제 '활짝정' 출시",https://finance.naver.com/item/news_read.naver?article_id=0004935231&office_id=008&code=000020&page=2&sm=
2023-09-07,"동화약품, 부채표 복합 소화효소제 '활짝정' 출시",https://finance.naver.com/item/news_read.naver?article_id=0005310735&office_id=277&code=000020&page=2&sm=
2023-09-07,"동화약품, 부채표 복합 소화 효소 '활짝정' 출시",https://finance.naver.com/item/news_read.naver?article_id=0007034322&office_id=421&code=000020&page=2&sm=
2023-09-07,"동화약품, 부채표 복합 소화효소제 ‘활짝정’ 출시",https://finance.naver.com/item/news_read.naver?article_id=0005568821&office_id=018&code=000020&page=2&sm=
2023-08-23,동화약품 125년 광고변천사 한눈에,https://finance.naver.com/item/news_read.naver?article_id=0005176568&office_id=009&code=000020&page=2&sm=
2023-08-23,"이노션·동화약품, 업계 첫 125년 국내광고史 담은 ‘광고북’",https://finance.naver.com/item/news_read.naver?article_id=0005176467&office_id=009&code=000020&page=2&sm=
2023-08-23,대한민국 광고역사 총망라...이노션 ‘동화약품 125년 광고북’ 출간,https://finance.naver.com/item/news_read.naver?article_id=0002187185&office_id=016&code=000020&page=2&sm=
2023-08-23,"이노션-동화약품, 125년 역사 담은 '광고북' 출간",https://finance.naver.com/item/news_read.naver?article_id=0012045699&office_id=003&code=000020&page=2&sm=
2023-08-23,"""125년 동화약품 역사 한눈에""…이노션, 업계 최초 '광고북' 출간",https://finance.naver.com/item/news_read.naver?article_id=0004882850&office_id=015&code=000020&page=2&sm=
2023-08-23,"“125년 동화약품 광고가 곧 한국 광고 역사” 이노션, ‘광고북’ ...",https://finance.naver.com/item/news_read.naver?article_id=0002186942&office_id=016&code=000020&page=2&sm=
2023-08-23,"이노션-동화약품, 125년 광고 역사 총망라 '광고북' 출간",https://finance.naver.com/item/news_read.naver?article_id=0014146042&office_id=001&code=000020&page=2&sm=
2023-08-23,"이노션, 동화약품과 125년 대한민국 광고역사 담아낸다",https://finance.naver.com/item/news_read.naver?article_id=0005303552&office_id=277&code=000020&page=2&sm=
2023-08-18,"<신제품·신기술>동화약품, 스킨케어 브랜드 ‘후시다인 더마 트러블’ 출...",https://finance.naver.com/item/news_read.naver?article_id=0002185032&office_id=016&code=000020&page=2&sm=
2023-08-04,"동화약품, 391억원에 베트남 약국체인기업 ‘중선파마’ 인수",https://finance.naver.com/item/news_read.naver?article_id=0004876076&office_id=015&code=000020&page=2&sm=
2023-08-04,"동화약품, 베트남 약국체인 391억에 인수…""동남아 진출 교두보""",https://finance.naver.com/item/news_read.naver?article_id=0005295768&office_id=277&code=000020&page=2&sm=
2023-08-03,"동화약품, 베트남 약국체인 391억에 인수…""동남아 진출 교두보""",https://finance.naver.com/item/news_read.naver?article_id=0006970221&office_id=421&code=000020&page=2&sm=
2023-08-03,"동화약품, 베트남 약국체인 ‘중선파마’ 391억원에 인수",https://finance.naver.com/item/news_read.naver?article_id=0000921909&office_id=366&code=000020&page=2&sm=
2023-08-03,"동화약품, 베트남 약국 체인 업체 인수…""동남아 진출 교두보""",https://finance.naver.com/item/news_read.naver?article_id=0014110631&office_id=001&code=000020&page=2&sm=
2023-08-03,"동화약품, 베트남 약국체인 391억원에 인수…""동남아 제약·뷰티 시장...",https://finance.naver.com/item/news_read.naver?article_id=0004222210&office_id=011&code=000020&page=2&sm=
2023-08-01,125년 광고활동 담았다…'동화약품 125년 광고북' 출간,https://finance.naver.com/item/news_read.naver?article_id=0005050526&office_id=014&code=000020&page=2&sm=
2023-08-01,동화약품 ‘125년 광고북’ 출간,https://finance.naver.com/item/news_read.naver?article_id=0002177427&office_id=016&code=000020&page=2&sm=
2023-07-26,"[청출어람 K바이오] 동화약품의 메디쎄이, ‘척추 임플란트’로 세계무대...",https://finance.naver.com/item/news_read.naver?article_id=0005537825&office_id=018&code=000020&page=3&sm=
2023-06-20,"동화약품, 치약형 잇몸 치료제 새 시장 개척",https://finance.naver.com/item/news_read.naver?article_id=0005146661&office_id=009&code=000020&page=3&sm=
2023-06-14,"[fn마켓워치]LB·BRV·KDB·동화약품, '반려동물 헬스케어' 투자",https://finance.naver.com/item/news_read.naver?article_id=0005027005&office_id=014&code=000020&page=3&sm=
2023-06-05,'가송 예술상' 시상식 연 동화약품…대상에 '이어질 리?' 선정,https://finance.naver.com/item/news_read.naver?article_id=0005022793&office_id=014&code=000020&page=3&sm=
2023-06-02,"동화약품, 겨드랑이 다한증 치료제 '에크락 겔' 국내 독점 판매",https://finance.naver.com/item/news_read.naver?article_id=0004851947&office_id=015&code=000020&page=3&sm=
2023-06-02,"동화약품 ""일본 카켄제약과 다한증 치료제 국내 판매 계약""",https://finance.naver.com/item/news_read.naver?article_id=0013979286&office_id=001&code=000020&page=3&sm=
2023-06-02,"동화약품, 겨드랑이 다한증 치료제 '에크락겔' 도입",https://finance.naver.com/item/news_read.naver?article_id=0005267788&office_id=277&code=000020&page=3&sm=
2023-06-02,겨드랑이 다한증 치료제 '에크락겔' 동화약품 독점판매,https://finance.naver.com/item/news_read.naver?article_id=0005021687&office_id=014&code=000020&page=3&sm=
2023-05-29,"동화약품, 1분기 사상 최대 실적 배경은",https://finance.naver.com/item/news_read.naver?article_id=0005496180&office_id=018&code=000020&page=3&sm=
2023-05-25,"상상인證 ""동화약품, 엔데믹 감기환자 증가로 판콜 매출↑""",https://finance.naver.com/item/news_read.naver?article_id=0011878521&office_id=003&code=000020&page=3&sm=
2023-05-25,"동화약품, 1Q 실적 개선에도 주가 저평가…'매수' 의견-상상인",https://finance.naver.com/item/news_read.naver?article_id=0004891624&office_id=008&code=000020&page=3&sm=
2023-05-17,"동화약품-도로교통공단, ‘후시딘과 함께하는 어린이 교통안전 캠페인’ 전...",https://finance.naver.com/item/news_read.naver?article_id=0002144741&office_id=016&code=000020&page=3&sm=
2023-05-09,"동화약품, 브러쉬 타입 무좀치료제 ‘바르지오 원스’ 신규 TV 광고",https://finance.naver.com/item/news_read.naver?article_id=0005481371&office_id=018&code=000020&page=3&sm=
2023-04-27,"동화약품, 'ATP 통산 2회 우승' 권순우와 스폰서십",https://finance.naver.com/item/news_read.naver?article_id=0005251491&office_id=277&code=000020&page=4&sm=
2023-04-25,"동화약품, 제8회 윤도준 의학상에 이상훈 오정신건강의학과의원 원장",https://finance.naver.com/item/news_read.naver?article_id=0004182990&office_id=011&code=000020&page=4&sm=
2023-04-25,"동화약품, '윤도준 의학상' 수상자로 이상훈 오정신건강의학과의원장 선...",https://finance.naver.com/item/news_read.naver?article_id=0005250108&office_id=277&code=000020&page=4&sm=
2023-04-13,"19년째 소화제 1위, 동화약품 '까스활명수' 골든 브랜드 선정",https://finance.naver.com/item/news_read.naver?article_id=0004996514&office_id=014&code=000020&page=4&sm=
2023-04-13,"동화약품, '까스활명수-큐' 골든 브랜드 선정",https://finance.naver.com/item/news_read.naver?article_id=0004832105&office_id=015&code=000020&page=4&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 기업에 50억원 투자",https://finance.naver.com/item/news_read.naver?article_id=0013828434&office_id=001&code=000020&page=4&sm=
2023-03-21,"동화약품, 펫 헬스케어 산업 진출…핏펫에 50억원 투자",https://finance.naver.com/item/news_read.naver?article_id=0005233975&office_id=277&code=000020&page=4&sm=
2023-03-21,동화약품 '사업다각화' 반려동물 헬스케어 핏펫에 50억원 투자,https://finance.naver.com/item/news_read.naver?article_id=0004984570&office_id=014&code=000020&page=4&sm=
2023-03-21,"동화약품, 반려동물 사업 진출…‘핏펫’에 50억 전략적 투자",https://finance.naver.com/item/news_read.naver?article_id=0005446668&office_id=018&code=000020&page=4&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 '핏펫'에 50억원 투자",https://finance.naver.com/item/news_read.naver?article_id=0004823177&office_id=015&code=000020&page=4&sm=
2023-03-21,"[fn마켓워치]동화약품, '반려동물 헬스케어'에 꽂힌 이유는?",https://finance.naver.com/item/news_read.naver?article_id=0004984421&office_id=014&code=000020&page=4&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 기업 ‘핏펫’에 50억 투자",https://finance.naver.com/item/news_read.naver?article_id=0002119439&office_id=016&code=000020&page=4&sm=
2023-03-21,"핏펫, 동화약품으로부터 50억 투자 유치…동물의약품 협력",https://finance.naver.com/item/news_read.naver?article_id=0005233879&office_id=277&code=000020&page=4&sm=
2023-03-21,126년 전통 동화약품이 반려동물 스타트업에 투자한 까닭 [허란의 V...,https://finance.naver.com/item/news_read.naver?article_id=0004823199&office_id=015&code=000020&page=4&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 솔루션 기업에 50억 전략적 투자",https://finance.naver.com/item/news_read.naver?article_id=0000014801&office_id=648&code=000020&page=4&sm=
2023-03-21,"핏펫, 동화약품으로부터 전략적 투자 유치 성공",https://finance.naver.com/item/news_read.naver?article_id=0005104349&office_id=009&code=000020&page=4&sm=
2023-03-21,"핏펫, 동화약품으로부터 50억 전략적 투자 유치",https://finance.naver.com/item/news_read.naver?article_id=0004864525&office_id=008&code=000020&page=4&sm=
2023-03-21,"핏펫, 동화약품으로부터 50억 투자 유치…동물의약품 협력",https://finance.naver.com/item/news_read.naver?article_id=0005233879&office_id=277&code=000020&page=5&sm=
2023-03-21,126년 전통 동화약품이 반려동물 스타트업에 투자한 까닭 [허란의 VC...,https://finance.naver.com/item/news_read.naver?article_id=0004823199&office_id=015&code=000020&page=5&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 '핏펫'에 50억원 투자",https://finance.naver.com/item/news_read.naver?article_id=0004823177&office_id=015&code=000020&page=5&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 솔루션 기업에 50억 전략적 투자",https://finance.naver.com/item/news_read.naver?article_id=0000014801&office_id=648&code=000020&page=5&sm=
2023-03-21,"[fn마켓워치]동화약품, '반려동물 헬스케어'에 꽂힌 이유는?",https://finance.naver.com/item/news_read.naver?article_id=0004984421&office_id=014&code=000020&page=5&sm=
2023-03-21,"핏펫, 동화약품으로부터 전략적 투자 유치 성공",https://finance.naver.com/item/news_read.naver?article_id=0005104349&office_id=009&code=000020&page=5&sm=
2023-03-21,"핏펫, 동화약품으로부터 50억 전략적 투자 유치",https://finance.naver.com/item/news_read.naver?article_id=0004864525&office_id=008&code=000020&page=5&sm=
2023-03-21,"핏펫, 동화약품으로부터 50억 투자 유치…동물의약품 협력",https://finance.naver.com/item/news_read.naver?article_id=0005233879&office_id=277&code=000020&page=6&sm=
2023-03-21,126년 전통 동화약품이 반려동물 스타트업에 투자한 까닭 [허란의 VC...,https://finance.naver.com/item/news_read.naver?article_id=0004823199&office_id=015&code=000020&page=6&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 '핏펫'에 50억원 투자",https://finance.naver.com/item/news_read.naver?article_id=0004823177&office_id=015&code=000020&page=6&sm=
2023-03-21,"동화약품, 반려동물 헬스케어 솔루션 기업에 50억 전략적 투자",https://finance.naver.com/item/news_read.naver?article_id=0000014801&office_id=648&code=000020&page=6&sm=
2023-03-21,"[fn마켓워치]동화약품, '반려동물 헬스케어'에 꽂힌 이유는?",https://finance.naver.com/item/news_read.naver?article_id=0004984421&office_id=014&code=000020&page=6&sm=
